	feature	coef
0	eRNA_chr6_41694020_41695500_minus	0.3074215820259334
1	DEG_ENSG00000138592.13	0.9619220730824385
2	DEG_ENSG00000176076.7	1.6141737968372825
3	DEG_ENSG00000226253.1	-0.3220724192964126
4	DEG_ENSG00000146859.6	0.20350011209820118
5	DEG_ENSG00000269293.2	-0.8257493968459135
6	eRNA_chr14_68097270_68113000_plus	0.7222585153427641
7	eRNA_chr17_30401360_30416350_plus	0.5595987734409213
8	eRNA_chr10_74167470_74167810_plus	-0.3549707566960256
9	DEG_ENSG00000281969.1	-0.287695758982206
10	DEG_ENSG00000272056.1	-0.23021059920879372
11	DEG_ENSG00000189060.5	-0.8990424953973755
12	DEG_ENSG00000090013.10	-0.08279809629466461
13	eRNA_chr14_86087220_86088900_plus	-0.2632757190632016
14	DEG_ENSG00000241868.3	0.6714985661003534
15	DEG_ENSG00000230257.2	0.8318278130738082
16	eRNA_chr10_6270120_6274350_plus	-0.3156072359954867
17	DEG_ENSG00000273333.2	1.2704036521489954
18	DEG_ENSG00000167536.13	0.27214490069593067
19	DEG_ENSG00000157734.13	-0.21953184000905113
20	eRNA_chr1_51850270_51852340_minus	-0.14034824838482862
21	eRNA_chr21_44793770_44794360_minus	0.5153869323388345
22	DEG_ENSG00000273306.1	-0.11763657887361223
23	DEG_ENSG00000272361.2	-0.8167112847067912
24	eRNA_chrX_19556240_19558190_minus	0.7295288969027918
25	DEG_ENSG00000134061.5	-0.33677483984790824
26	DEG_ENSG00000146540.14	-0.04953169222738385
27	eRNA_chr7_92652970_92653240_minus	-0.555675170921579
28	DEG_ENSG00000168434.12	-0.29932132379230625
29	eRNA_chr6_158657000_158657850_plus	1.0629667263099303
30	DEG_ENSG00000271734.1	-0.29108715921526773
31	eRNA_chr12_31720940_31722750_minus	-0.59954846777421
32	eRNA_chr5_172775050_172775580_minus	-0.6393752810789135
33	eRNA_chr9_3574670_3576870_plus	-0.03537952792937915
34	DEG_ENSG00000114054.13	-0.699713678804966
35	eRNA_chr17_77384530_77385290_plus	0.6590015790806154
36	DEG_ENSG00000048052.21	-0.16976508807633883
37	DEG_ENSG00000120659.14	-0.1671514853267706
38	circRNA_chr7_75166536_75166877_minus	0.19252524513637947
39	eRNA_chr5_14444820_14445190_plus	-0.2567649705836086
40	eRNA_chr17_3911970_3913120_minus	-0.05264386096263052
41	eRNA_chr2_25330850_25331780_minus	1.1867244451641072
42	eRNA_chr12_98642130_98643600_minus	-0.738555834634167
43	DEG_ENSG00000272829.1	-0.7909569371406935
44	eRNA_chrX_41710310_41712590_minus	-0.18370145448718445
45	DEG_ENSG00000249667.1	-0.5643726594009157
46	DEG_ENSG00000173727.12	-0.31469063681786613
47	eRNA_chr12_100132870_100133910_minus	-0.3854987733329849
48	eRNA_chr6_27834980_27835120_minus	0.7961168584421254
49	eRNA_chr8_116727120_116727930_minus	0.0859936194334896
50	DEG_ENSG00000277771.1	-0.02764604462512521
51	DEG_ENSG00000254396.1	1.1911191610766303
52	DEG_ENSG00000285931.1	-0.061088665369724904
53	eRNA_chr5_89450450_89450810_plus	1.109190236726054
54	DEG_ENSG00000167674.14	1.4563063016033093
55	eRNA_chr15_69724680_69725110_plus	0.39519895962507356
56	eRNA_chr15_63942470_63943050_minus	-0.5916683878280329
57	DEG_ENSG00000211938.2	-0.8272202678070655
58	DEG_ENSG00000276704.1	-0.5775997488175744
59	eRNA_chr11_14892820_14896380_plus	0.5351047753426199
60	eRNA_chr7_92723590_92724540_minus	-0.4439927160084127
61	eRNA_chr15_79961850_79963360_minus	-0.10233721971870402
62	DEG_ENSG00000244436.2	-0.32404119262804265
63	DEG_ENSG00000184900.15	0.6510693285368823
64	eRNA_chr3_99824870_99826710_plus	-0.3380405401603159
65	DEG_ENSG00000277423.1	-1.0152565149782937
66	eRNA_chr6_24942250_24945730_plus	0.2888599072407909
67	DEG_ENSG00000136319.11	0.7346326321711549
68	eRNA_chr1_149881750_149883230_minus	-1.2049731430357769
69	DEG_ENSG00000107669.17	0.5640991846146806
70	eRNA_chr17_44114490_44115020_minus	1.21975560470239
71	DEG_ENSG00000263956.6	-0.05070933421937207
72	DEG_ENSG00000104324.15	0.6173935439397562
73	DEG_ENSG00000113719.15	-0.3074643778762396
74	DEG_ENSG00000214456.8	-1.7284377023185287
75	eRNA_chr9_136540010_136540660_plus	-0.10455387683513795
76	eRNA_chr5_100572780_100575170_plus	0.06965506092089946
77	eRNA_chr8_120677370_120681780_minus	-0.21653873631634424
78	DEG_ENSG00000132155.11	-0.736670819532045
79	eRNA_chr15_58506420_58506670_minus	-0.40144432610155545
80	PRS	2.3911792870007833
81	Clin_upsit_total_score	-5.740063075754784
82	Clin_sex_int	0.2293450724159074
83	Clin_age_at_baseline	0.27622920851284993
